# alpha_rad_px: 1.140017e-04
# alpha_rad_px_2sigma: 4.94e-08
# d_mm: 20.000433
# d_mm_2sigma: 0.000506
# epsilon_640: 0.737507
# epsilon_638: 0.233143
# Y_B: 0.637487
# Y_B_note: median(amp_638)/median(amp_640), all peaks included
# slope_orders_per_px2: 0.000813
# cx: 109.7221
# cy: 110.6258
# r_max_px: 110.0
r_grid,profile,sigma_profile
6.3508529610858835,2239.6031746031745,3.2908391074402528
11.0,2396.9683794466405,5.044363712024665
14.200938936093863,2648.191235059761,6.5919784906519245
16.802777548171413,2839.980694980695,5.203451430677037
19.05255888325765,2860.248995983936,5.910446777594089
21.06339637063944,2694.263779527559,7.4371457688575
22.89832599412746,2458.3372093023254,7.982017436054538
24.596747752497688,2296.2122448979594,6.695852077205846
26.185237571323785,2245.1187739463603,6.029783876336927
27.682726262659415,2329.6518218623482,6.497139523531405
29.103264421710495,2491.84496124031,6.59071093901059
30.45762083069961,2594.1984126984125,5.895231042561393
31.75426480542942,2557.5396825396824,6.487643306398237
33.0,2389.5607843137254,8.055989013311365
34.200389861325654,2228.921568627451,8.341681107343858
35.360052790307506,2200.834645669291,8.405325612570165
36.4828726939094,2323.2023809523807,9.101420962968009
37.57215280851853,2541.5418326693225,9.596216370279063
38.630730427126714,2740.3110236220473,9.202518569623798
39.66106403010388,2799.284584980237,9.228716212059846
40.665300523501195,2697.06374501992,10.496796788300271
41.645327869202006,2489.793774319066,11.068179440800685
42.60281680828159,2318.4426877470355,10.6879037477784
43.53925431913903,2251.142307692308,9.816486053627132
44.45597072760118,2312.0434782608695,10.032158232988355
45.35416188179427,2449.5256916996045,9.558038892436246
46.2349074473678,2565.6393442622953,8.47230008258972
47.09918612177214,2568.5730769230768,8.157892330208767
47.94788837894741,2424.1209677419356,9.865651216702647
48.781827217383594,2268.0956175298807,11.266310768837108
49.601747281051836,2214.546875,11.449346983499616
50.40833264451424,2300.0919540229884,11.72820891502029
51.20221349381946,2491.391129032258,12.885303241097871
51.9839718887787,2662.2301587301586,12.606521842448167
52.754146756439916,2769.6666666666665,12.49830172388855
53.513238237530224,2718.7876447876447,12.2492374244809
54.26171148547872,2550.608870967742,12.779047793473007
55.0,2362.820717131474,12.350170235679144
55.72850856309243,2277.6911196911196,11.756064602036536
56.44761583391573,2306.863813229572,11.324799770830397
57.15767664977295,2425.416,11.288850950207467
57.859024072884836,2526.896,10.416890358259513
58.55197121646148,2556.4444444444443,9.711781717889933
59.23681287847955,2448.5381526104416,10.424828621240378
59.91382700735004,2287.89837398374,11.952377065885706
60.583276020147125,2212.985130111524,11.967423259676384
61.24540799113024,2268.9794238683126,13.191210802061196
61.900457725825156,2405.5537848605577,13.274088509333854
